 Tue, 9 Oct 2001 11:11:58 -0700 (PDT)ring|beck|
 Mon, 19 Nov 2001 01:07:12 -0800 (PST)Burke, Karen|Murphy, Ted|
 Tue, 23 Oct 2001 16:40:45 -0700 (PDT)Richter, Brad|beck|
 Mon, 12 Nov 2001 13:28:35 -0800 (PST)Master, Mitesh|beck|
 Wed, 6 Jun 2001 11:05:20 -0700 (PDT)Barry Pearce/Enron Communications@ENRON COMMUNICATIONS@ENRON|beck|
 Thu, 10 Jan 2002 09:34:18 -0800 (PST)
 Thu, 17 Jan 2002 09:06:10 -0800 (PST)
 Wed, 14 Nov 2001 11:25:52 -0800 (PST)
 Thu, 18 Oct 2001 12:03:28 -0700 (PDT)
 Tue, 5 Jun 2001 19:12:25 -0700 (PDT)
 Mon, 7 Jan 2002 04:38:20 -0800 (PST)
 Wed, 16 Jan 2002 06:46:16 -0800 (PST)
 Tue, 15 Jan 2002 10:35:35 -0800 (PST)
 Thu, 17 Jan 2002 12:21:09 -0800 (PST)
 Mon, 26 Nov 2001 17:57:24 -0800 (PST)
 Fri, 2 Nov 2001 14:59:48 -0800 (PST)
 Fri, 1 Jun 2001 13:37:36 -0700 (PDT)
 Tue, 8 Jan 2002 04:38:23 -0800 (PST)
 Wed, 23 May 2001 14:50:40 -0700 (PDT)
 Thu, 11 Oct 2001 11:44:17 -0700 (PDT)
 Tue, 5 Jun 2001 16:46:23 -0700 (PDT)
 Mon, 26 Nov 2001 18:04:36 -0800 (PST)
 Wed, 23 May 2001 18:02:50 -0700 (PDT)
 Tue, 30 Oct 2001 13:03:47 -0800 (PST)
 Thu, 31 May 2001 15:15:07 -0700 (PDT)
 Sun, 21 Oct 2001 08:14:43 -0700 (PDT)
 Fri, 8 Jun 2001 13:13:55 -0700 (PDT)
 Wed, 30 May 2001 14:50:59 -0700 (PDT)
 Fri, 4 May 2001 07:34:15 -0700 (PDT)
 Wed, 17 Oct 2001 16:46:19 -0700 (PDT)
 Tue, 15 Jan 2002 17:26:04 -0800 (PST)
 Wed, 9 May 2001 09:05:44 -0700 (PDT)
 Wed, 9 Jan 2002 09:50:30 -0800 (PST)
 Sun, 16 Dec 2001 22:58:38 -0800 (PST)
 Tue, 20 Nov 2001 14:53:36 -0800 (PST)
 Sat, 5 Jan 2002 10:22:23 -0800 (PST)
 Mon, 29 Oct 2001 14:26:46 -0800 (PST)
 Fri, 18 Jan 2002 14:25:15 -0800 (PST)
 Tue, 27 Nov 2001 09:55:49 -0800 (PST)
 Mon, 7 May 2001 06:57:15 -0700 (PDT)
 Tue, 20 Nov 2001 10:39:43 -0800 (PST)
 Wed, 31 Oct 2001 15:59:31 -0800 (PST)
 Mon, 7 Jan 2002 04:38:26 -0800 (PST)
 Wed, 21 Nov 2001 21:15:22 -0800 (PST)
 Tue, 1 Jan 2002 15:55:18 -0800 (PST)
 Thu, 17 Jan 2002 12:22:52 -0800 (PST)
 Tue, 13 Nov 2001 13:58:35 -0800 (PST)
 Fri, 11 Jan 2002 04:38:27 -0800 (PST)
 Tue, 20 Nov 2001 10:45:38 -0800 (PST)
 Thu, 10 May 2001 05:41:54 -0700 (PDT)
 Tue, 24 Apr 2001 16:36:43 -0700 (PDT)
 Thu, 18 Oct 2001 09:30:30 -0700 (PDT)
 Mon, 31 Dec 2001 10:07:51 -0800 (PST)
 Tue, 18 Dec 2001 14:56:02 -0800 (PST)
 Mon, 4 Jun 2001 08:42:31 -0700 (PDT)
 Thu, 8 Nov 2001 11:46:14 -0800 (PST)
 Tue, 22 Jan 2002 15:37:18 -0800 (PST)
 Mon, 17 Dec 2001 15:23:17 -0800 (PST)
 Tue, 22 May 2001 11:17:02 -0700 (PDT)
 Tue, 8 Jan 2002 04:38:24 -0800 (PST)
 Fri, 2 Nov 2001 10:44:56 -0800 (PST)
 Fri, 4 May 2001 15:03:27 -0700 (PDT)
 Mon, 19 Nov 2001 12:02:48 -0800 (PST)
 Mon, 29 Oct 2001 05:59:01 -0800 (PST)
 Fri, 9 Nov 2001 15:34:55 -0800 (PST)
 Wed, 9 May 2001 12:00:47 -0700 (PDT)
 Wed, 16 May 2001 09:04:08 -0700 (PDT)
 Tue, 15 Jan 2002 13:28:15 -0800 (PST)
 Mon, 4 Jun 2001 16:46:23 -0700 (PDT)
 Tue, 13 Nov 2001 09:46:16 -0800 (PST)
 Tue, 15 Jan 2002 09:29:27 -0800 (PST)
 Fri, 9 Nov 2001 10:30:02 -0800 (PST)
 Wed, 21 Nov 2001 07:50:02 -0800 (PST)
 Tue, 29 May 2001 06:04:00 -0700 (PDT)
 Tue, 20 Nov 2001 15:00:37 -0800 (PST)
 Thu, 24 Jan 2002 14:59:14 -0800 (PST)
 Thu, 3 Jan 2002 07:05:15 -0800 (PST)
 Thu, 15 Nov 2001 09:15:42 -0800 (PST)
 Mon, 12 Nov 2001 14:52:18 -0800 (PST)
 Tue, 23 Oct 2001 13:00:50 -0700 (PDT)
 Tue, 15 May 2001 19:16:22 -0700 (PDT)
 Mon, 12 Nov 2001 17:04:14 -0800 (PST)
 Wed, 9 Jan 2002 06:32:53 -0800 (PST)
 Fri, 18 Jan 2002 08:02:10 -0800 (PST)
 Wed, 9 May 2001 11:57:58 -0700 (PDT)
 Thu, 24 May 2001 14:03:36 -0700 (PDT)
 Wed, 2 Jan 2002 07:41:23 -0800 (PST)
 Mon, 15 Oct 2001 20:01:17 -0700 (PDT)
 Fri, 9 Nov 2001 10:30:44 -0800 (PST)
 Wed, 24 Oct 2001 09:30:01 -0700 (PDT)
 Fri, 5 Oct 2001 15:07:27 -0700 (PDT)
 Tue, 20 Nov 2001 10:51:12 -0800 (PST)
 Mon, 19 Nov 2001 09:45:00 -0800 (PST)
 Wed, 30 May 2001 08:30:17 -0700 (PDT)
 Wed, 2 May 2001 14:29:08 -0700 (PDT)
 Wed, 6 Jun 2001 12:52:41 -0700 (PDT)
 Mon, 26 Nov 2001 13:22:04 -0800 (PST)
 Wed, 19 Dec 2001 05:59:27 -0800 (PST)
 Wed, 31 Oct 2001 10:44:36 -0800 (PST)
 Thu, 24 Jan 2002 09:28:53 -0800 (PST)
 Mon, 22 Oct 2001 20:02:34 -0700 (PDT)
 Thu, 31 May 2001 13:12:10 -0700 (PDT)
 Tue, 15 Jan 2002 07:35:23 -0800 (PST)
 Thu, 20 Dec 2001 10:36:37 -0800 (PST)
 Fri, 4 Jan 2002 12:59:30 -0800 (PST)
 Mon, 17 Dec 2001 07:54:22 -0800 (PST)
 Mon, 26 Nov 2001 16:41:34 -0800 (PST)
 Tue, 27 Nov 2001 11:15:46 -0800 (PST)
 Tue, 15 Jan 2002 16:47:03 -0800 (PST)
 Wed, 16 Jan 2002 12:47:16 -0800 (PST)
 Sun, 14 Oct 2001 17:06:03 -0700 (PDT)
 Wed, 31 Oct 2001 09:25:46 -0800 (PST)
 Thu, 10 Jan 2002 06:45:44 -0800 (PST)
 Fri, 26 Oct 2001 20:40:03 -0700 (PDT)
 Wed, 9 Jan 2002 15:33:12 -0800 (PST)
 Mon, 29 Oct 2001 19:06:37 -0800 (PST)
 Tue, 27 Nov 2001 11:27:08 -0800 (PST)
 Fri, 4 May 2001 06:01:20 -0700 (PDT)
 Tue, 20 Nov 2001 06:36:58 -0800 (PST)
 Wed, 2 Jan 2002 13:39:28 -0800 (PST)
 Tue, 5 Jun 2001 12:01:59 -0700 (PDT)
 Mon, 7 Jan 2002 13:22:37 -0800 (PST)
 Mon, 17 Dec 2001 06:05:10 -0800 (PST)
 Tue, 20 Nov 2001 07:13:46 -0800 (PST)
 Thu, 17 Jan 2002 06:50:16 -0800 (PST)
 Mon, 19 Nov 2001 08:21:53 -0800 (PST)
 Mon, 7 May 2001 13:39:04 -0700 (PDT)
 Wed, 26 Sep 2001 11:49:27 -0700 (PDT)
 Wed, 2 Jan 2002 04:38:21 -0800 (PST)
