 Wed, 6 Feb 2002 15:19:55 -0800 (PST)Oxley, David|Abramo, Caroline|
 Tue, 5 Feb 2002 13:12:06 -0800 (PST)Dronet, David|griffith|
 Wed, 6 Feb 2002 12:02:59 -0800 (PST)SCS_2|thomas|
 Tue, 25 Dec 2001 21:18:36 -0800 (PST)greetings@reply.yahoo.com@ENRON|griffith|
 Thu, 1 Nov 2001 07:15:58 -0800 (PST)
 Mon, 31 Dec 2001 04:53:15 -0800 (PST)
 Thu, 27 Dec 2001 14:57:28 -0800 (PST)
 Mon, 29 Oct 2001 09:35:23 -0800 (PST)
 Mon, 29 Oct 2001 12:12:00 -0800 (PST)
 Mon, 31 Dec 2001 13:28:08 -0800 (PST)
 Tue, 5 Feb 2002 07:48:47 -0800 (PST)
 Wed, 26 Dec 2001 14:44:51 -0800 (PST)
 Mon, 26 Nov 2001 17:17:04 -0800 (PST)
 Wed, 6 Feb 2002 09:17:24 -0800 (PST)
 Mon, 19 Nov 2001 11:28:54 -0800 (PST)
 Fri, 28 Dec 2001 14:53:16 -0800 (PST)
 Tue, 20 Nov 2001 13:53:18 -0800 (PST)
 Mon, 29 Oct 2001 09:34:48 -0800 (PST)
 Tue, 30 Oct 2001 15:36:35 -0800 (PST)
 Tue, 27 Nov 2001 14:22:17 -0800 (PST)
 Mon, 5 Nov 2001 10:00:06 -0800 (PST)
 Sun, 25 Nov 2001 15:15:46 -0800 (PST)
 Tue, 27 Nov 2001 17:44:48 -0800 (PST)
 Thu, 20 Dec 2001 13:10:17 -0800 (PST)
 Fri, 21 Dec 2001 14:52:59 -0800 (PST)
 Fri, 16 Nov 2001 14:11:54 -0800 (PST)
 Wed, 14 Nov 2001 10:28:07 -0800 (PST)
 Mon, 29 Oct 2001 13:42:47 -0800 (PST)
 Fri, 23 Nov 2001 06:50:49 -0800 (PST)
 Thu, 25 Oct 2001 16:27:29 -0700 (PDT)
 Mon, 31 Dec 2001 09:44:24 -0800 (PST)
 Wed, 6 Feb 2002 11:55:55 -0800 (PST)
 Mon, 26 Nov 2001 17:16:31 -0800 (PST)
 Mon, 31 Dec 2001 13:28:53 -0800 (PST)
 Tue, 27 Nov 2001 13:49:25 -0800 (PST)
 Tue, 27 Nov 2001 18:47:00 -0800 (PST)
 Wed, 6 Feb 2002 14:09:44 -0800 (PST)
 Mon, 26 Nov 2001 16:24:41 -0800 (PST)
 Thu, 31 Jan 2002 08:51:36 -0800 (PST)
 Tue, 25 Dec 2001 21:58:06 -0800 (PST)
 Thu, 13 Sep 2001 20:27:24 -0700 (PDT)
 Tue, 5 Feb 2002 17:00:55 -0800 (PST)
 Wed, 6 Feb 2002 14:47:09 -0800 (PST)
 Mon, 29 Oct 2001 19:06:37 -0800 (PST)
 Wed, 6 Feb 2002 15:00:41 -0800 (PST)
